,breed,Playfulness,Activity level,Friendliness to Other Pets,Friendliness to Children,Grooming Requirements,Vocality,Need for Attention,Affection toward its owner,Docility,Intelligence,Independence,Hardiness
1,Snowshoe/Domestic Shorthair,5,4,4,4,3,4,4,5,3,4,4,3
2,Domestic Longhair/Persian,3,1,4,4,5,1,4,4,5,2,2,2
3,Domestic Medium Hair/Siamese,5,4,3,2,1,5,5,4,1,5,1,2
4,Siamese/Domestic Shorthair,5,4,3,2,1,5,5,4,1,5,1,2
5,Angora/Persian,3,1,4,4,5,1,4,4,5,2,2,2
6,Domestic Shorthair/Siamese,5,4,3,2,1,5,5,4,1,5,1,2
7,Siamese/Angora,5,4,3,2,1,5,5,4,1,5,1,2
8,Domestic Longhair/Russian Blue,3,3,3,3,2,1,3,3,4,4,4,4
9,Domestic Shorthair/British Shorthair,3,2,4,4,2,2,1,3,4,4,4,3
10,Manx/Domestic Shorthair,4,3,5,5,3,2,3,4,4,4,3,1
11,Snowshoe/Ragdoll,4,3,4,4,3.5,3,3,4.5,4,4,3,3
12,Manx/Siamese,4.5,3.5,4,3.5,2,3.5,4,4,2.5,4.5,2,1.5
13,Siamese/Japanese Bobtail,5,4,3.5,3,1.5,4.5,4.5,4.5,1.5,4.5,1.5,2.5
14,Bengal/Domestic Shorthair,5,5,2,2,1,2,4,4,1,5,2,3
15,Domestic Medium Hair/Maine Coon,4,3,4,4,4,1,3,4,4,4,4,5
16,Domestic Shorthair/Maine Coon,4,3,4,4,4,1,3,4,4,4,4,5
17,Manx/Domestic Longhair,4,3,5,5,3,2,3,4,4,4,3,1
18,Domestic Shorthair/Manx,4,3,5,5,3,2,3,4,4,4,3,1
19,Domestic Shorthair/Abyssinian,5,5,3,2,2,1,4,4,1,4,3,2
20,Domestic Medium Hair/Manx,4,3,5,5,3,2,3,4,4,4,3,1
21,Siamese,5,4,3,2,1,5,5,4,1,5,1,2
22,Abyssinian,5,5,3,2,2,1,4,4,1,4,3,2
23,Snowshoe,5,4,4,4,3,4,4,5,3,4,4,3
24,Ragdoll,3,2,4,4,4,2,2,4,5,4,2,3
25,American Shorthair,4,2,4,4,1,1,3,3,4,3,4,4
26,Scottish Fold,4,2,3,3,3,1,3,4,4,4,4,2
27,Maine Coon,4,3,4,4,4,1,3,4,4,4,4,5
28,Russian Blue,3,3,3,3,2,1,3,3,4,4,4,4
29,Persian,3,1,4,4,5,1,4,4,5,2,2,2
30,Chartreux,3,3,4,4,2,1,3,4,4,4,3,4
31,Tonkinese,4,5,4,4,1,4,4,4,3,4,2,3
32,Manx,4,3,5,5,3,2,3,4,4,4,3,1
33,British Shorthair,3,2,4,4,2,2,1,3,4,4,4,3
34,Himalayan,3,1,4,4,5,1,4,5,5,2,2,2
35,Bengal,5,5,2,2,1,2,4,4,1,5,2,3
36,Balinese,5,4,3,3,2,5,5,4,1,5,1,2
37,Exotic Shorthair,3,1,4,4,2,1,4,5,5,2,2,2
38,Bombay,4,3,3,4,1,2,3,4,4,3,2,3
39,Burmese,5,4,3,3,1,4,4,5,1,4,2,3
40,Japanese Bobtail,5,4,4,4,2,4,4,5,2,4,2,3
41,Norwegian Forest Cat,4,4,4,4,3,1,3,4,4,4,3,4
42,Sphynx,5,4,4,4,5,4,5,5,4,5,1,3
43,Cymric,3,3,5,5,3,2,3,4,4,4,3,1
44,Devon Rex,4,4,3,3,1,2,4,5,3,4,2,3
45,Turkish Van,4,5,4,4,3,4,4,4,2,4,3,4
46,American Wirehair,4,3,3,3,2,3,3,4,2,4,3,3
47,Turkish Angora,4,4,3,3,3,1,4,4,2,4,2,3
48,Javanese,5,5,3,3,2,5,5,5,2,5,1,3
49,Havana Brown,4,3,3,3,1,1,5,4,3,5,2,3
50,Cornish Rex,5,5,2,2,1,1,5,5,1,4,2,2
51,Ocicat,5,5,4,4,1,4,4,4,1,4,2,3
52,Birman,3,2,4,4,4,1,4,4,5,3,2,3
